comparison,metric,delta,ci_lower,ci_upper
Structured + TF-IDF vs Structured-only,ROC-AUC,0.0053,0.0026,0.0079
Structured + TF-IDF vs Structured-only,PR-AUC,0.003,-0.0009,0.0071
Structured + TF-IDF vs Structured-only,Brier score,-0.0004,-0.0007,-0.0001
Structured + BERT vs Structured-only,ROC-AUC,0.0072,0.0017,0.0126
Structured + BERT vs Structured-only,PR-AUC,0.0005,-0.0068,0.0079
Structured + BERT vs Structured-only,Brier score,0.0004,-0.0002,0.0011
Structured + BERT vs Structured + TF-IDF,ROC-AUC,0.0019,-0.003,0.0069
Structured + BERT vs Structured + TF-IDF,PR-AUC,-0.0025,-0.0093,0.004
Structured + BERT vs Structured + TF-IDF,Brier score,0.0008,0.0002,0.0014
BERT text-only vs TF-IDF text-only,ROC-AUC,0.0142,0.0026,0.0249
BERT text-only vs TF-IDF text-only,PR-AUC,0.0071,-0.0006,0.0151
BERT text-only vs TF-IDF text-only,Brier score,0.0001,-0.0006,0.0007
