feature,feature_type,mean_abs_shap
fico_score,Structured,0.2631138836658373
term_ 36 months,Structured,0.2086942038540445
annual_inc,Structured,0.19138983127175882
loan_amnt,Structured,0.16877924356053128
num_rev_tl_bal_gt_0,Structured,0.16820438938823504
total_bc_limit,Structured,0.15339922524778454
home_ownership_MORTGAGE,Structured,0.14145937106574868
acc_open_past_24mths,Structured,0.12555330006022217
mths_since_last_record_missing,Structured,0.12258777958058578
purpose_credit_card,Structured,0.119611690080212
inq_last_6mths,Structured,0.11926365220327166
num_actv_rev_tl,Structured,0.10996856377965034
home_ownership_RENT,Structured,0.09239691013484608
avg_cur_bal,Structured,0.08884916214426312
verification_status_Verified,Structured,0.0736197503987386
percent_bc_gt_75,Structured,0.07115500834262473
verification_status_Not Verified,Structured,0.06946817221445455
mths_since_last_delinq_missing,Structured,0.06750066161531018
num_tl_op_past_12m,Structured,0.06727626949162452
pub_rec,Structured,0.06567033592107868
purpose_debt_consolidation,Structured,0.06512444136889586
num_actv_bc_tl,Structured,0.06269904921518019
verification_status_Source Verified,Structured,0.059425264363445966
total_il_high_credit_limit,Structured,0.05684793952005093
bc_open_to_buy,Structured,0.055678395297145966
term_ 60 months,Structured,0.05208839063904755
revol_util,Structured,0.05074182158204904
total_acc,Structured,0.04879887371228345
mo_sin_old_rev_tl_op,Structured,0.04803847743942999
credit_history_months,Structured,0.04729901004152753
tot_cur_bal,Structured,0.04548463150330957
mths_since_recent_bc,Structured,0.042146616133089225
num_bc_tl,Structured,0.039332956656119494
num_rev_accts,Structured,0.03884907436473319
pct_tl_nvr_dlq,Structured,0.03806888651942115
dti,Structured,0.03529075949737688
tot_hi_cred_lim,Structured,0.034966065888978284
home_ownership_OWN,Structured,0.033946471944464034
acc_now_delinq,Structured,0.03284259353948174
num_op_rev_tl,Structured,0.031172132338866915
14,Text,0.02622197073394513
num_bc_sats,Structured,0.025703102917287654
num_il_tl,Structured,0.025671819690684328
delinq_2yrs,Structured,0.02333194425778
open_acc,Structured,0.021368073240445186
mths_since_recent_bc_dlq_missing,Structured,0.02113766404463184
mo_sin_rcnt_rev_tl_op,Structured,0.020096242084373984
revol_bal,Structured,0.019195508146640224
