Feature,Data_Type,Category,Decision,Reason
id,object,Review,Pending,
member_id,float64,Review,Pending,
loan_amnt,float64,Review,Pending,
funded_amnt,float64,Review,Pending,
funded_amnt_inv,float64,Review,Pending,
term,object,Review,Pending,
int_rate,float64,Review,Pending,
installment,float64,Review,Pending,
grade,object,Review,Pending,
sub_grade,object,Review,Pending,
emp_title,object,Review,Pending,
emp_length,object,Review,Pending,
home_ownership,object,Review,Pending,
annual_inc,float64,Review,Pending,
verification_status,object,Review,Pending,
issue_d,object,Review,Pending,
loan_status,object,Review,Pending,
pymnt_plan,object,Review,Pending,
url,object,Review,Pending,
desc,object,Review,Pending,
purpose,object,Review,Pending,
title,object,Review,Pending,
zip_code,object,Review,Pending,
addr_state,object,Review,Pending,
dti,float64,Review,Pending,
delinq_2yrs,float64,Review,Pending,
earliest_cr_line,object,Review,Pending,
fico_range_low,float64,Review,Pending,
fico_range_high,float64,Review,Pending,
inq_last_6mths,float64,Review,Pending,
mths_since_last_delinq,float64,Review,Pending,
mths_since_last_record,float64,Review,Pending,
open_acc,float64,Review,Pending,
pub_rec,float64,Review,Pending,
revol_bal,float64,Review,Pending,
revol_util,float64,Review,Pending,
total_acc,float64,Review,Pending,
initial_list_status,object,Review,Pending,
out_prncp,float64,Review,Pending,
out_prncp_inv,float64,Review,Pending,
total_pymnt,float64,Review,Pending,
total_pymnt_inv,float64,Review,Pending,
total_rec_prncp,float64,Review,Pending,
total_rec_int,float64,Review,Pending,
total_rec_late_fee,float64,Review,Pending,
recoveries,float64,Review,Pending,
collection_recovery_fee,float64,Review,Pending,
last_pymnt_d,object,Review,Pending,
last_pymnt_amnt,float64,Review,Pending,
next_pymnt_d,object,Review,Pending,
last_credit_pull_d,object,Review,Pending,
last_fico_range_high,float64,Review,Pending,
last_fico_range_low,float64,Review,Pending,
collections_12_mths_ex_med,float64,Review,Pending,
mths_since_last_major_derog,float64,Review,Pending,
policy_code,float64,Review,Pending,
application_type,object,Review,Pending,
annual_inc_joint,float64,Review,Pending,
dti_joint,float64,Review,Pending,
verification_status_joint,object,Review,Pending,
acc_now_delinq,float64,Review,Pending,
tot_coll_amt,float64,Review,Pending,
tot_cur_bal,float64,Review,Pending,
open_acc_6m,float64,Review,Pending,
open_act_il,float64,Review,Pending,
open_il_12m,float64,Review,Pending,
open_il_24m,float64,Review,Pending,
mths_since_rcnt_il,float64,Review,Pending,
total_bal_il,float64,Review,Pending,
il_util,float64,Review,Pending,
open_rv_12m,float64,Review,Pending,
open_rv_24m,float64,Review,Pending,
max_bal_bc,float64,Review,Pending,
all_util,float64,Review,Pending,
total_rev_hi_lim,float64,Review,Pending,
