feature,importance
term_ 60 months,0.2773592
term_ 36 months,0.19891536
fico_score,0.05394994
verification_status_Not Verified,0.039735362
acc_open_past_24mths,0.0261038
mort_acc,0.018803425
home_ownership_MORTGAGE,0.018577926
purpose_credit_card,0.018289613
dti,0.017033326
tot_hi_cred_lim,0.01672959
home_ownership_RENT,0.016247563
purpose_small_business,0.013917523
num_tl_op_past_12m,0.012863091
annual_inc,0.010930606
avg_cur_bal,0.010589368
mths_since_recent_inq,0.010320091
inq_last_6mths,0.008549329
loan_amnt,0.0077013583
total_bc_limit,0.0076055634
bc_open_to_buy,0.0067278594
verification_status_Verified,0.0064068036
purpose_other,0.0063106907
mths_since_recent_bc,0.0061424347
delinq_2yrs,0.0060008694
mo_sin_old_rev_tl_op,0.005750217
num_rev_tl_bal_gt_0,0.005556437
total_acc,0.0054686223
num_actv_rev_tl,0.005425618
purpose_debt_consolidation,0.005225639
revol_bal,0.004748198
total_rev_hi_lim,0.0046660923
purpose_medical,0.004534421
purpose_moving,0.0043675117
emp_length_years,0.0043421243
mo_sin_rcnt_tl,0.0043270187
percent_bc_gt_75,0.004058444
mths_since_last_record_missing,0.0039868494
bc_util,0.003729435
num_il_tl,0.0036878819
mths_since_recent_inq_missing,0.0036042032
pub_rec_bankruptcies,0.0035639144
purpose_vacation,0.003539544
mths_since_last_delinq,0.0034045517
purpose_car,0.003293158
mths_since_last_record,0.0032896346
num_actv_bc_tl,0.0031947216
credit_history_months,0.0031839155
mths_since_last_major_derog_missing,0.003084389
num_rev_accts,0.0030129014
total_il_high_credit_limit,0.0029917392
pub_rec,0.0029748175
purpose_home_improvement,0.0029425325
mo_sin_old_il_acct,0.0028165986
collections_12_mths_ex_med,0.0027852282
mths_since_recent_revol_delinq_missing,0.0027162726
application_type_Joint App,0.0027071128
revol_util,0.0026791824
tot_cur_bal,0.002599812
purpose_wedding,0.0024763816
pct_tl_nvr_dlq,0.002459576
application_type_Individual,0.0024198366
num_bc_tl,0.002353885
num_accts_ever_120_pd,0.0023470637
mths_since_recent_bc_dlq_missing,0.002304795
verification_status_Source Verified,0.002262917
mths_since_last_major_derog,0.0022449763
mths_since_recent_bc_dlq,0.0022423998
purpose_renewable_energy,0.0022141028
purpose_major_purchase,0.002208228
num_bc_sats,0.002202711
mo_sin_rcnt_rev_tl_op,0.0021875054
mths_since_recent_revol_delinq,0.0021758724
home_ownership_OWN,0.0021352987
tot_coll_amt,0.0020904602
delinq_amnt,0.0019459868
num_tl_90g_dpd_24m,0.0019024503
total_bal_ex_mort,0.001889293
chargeoff_within_12_mths,0.0018527092
purpose_house,0.0018446153
tax_liens,0.0017742679
open_acc,0.0017705132
purpose_educational,0.0017556489
num_tl_30dpd,0.001685944
num_op_rev_tl,0.0016408359
mths_since_last_delinq_missing,0.0015422996
acc_now_delinq,0.0
num_tl_120dpd_2m,0.0
home_ownership_NONE,0.0
home_ownership_ANY,0.0
home_ownership_OTHER,0.0
